ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
552,CarePlus Health Centre,Nephrology,Swasthya Foundation,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.5,Good experience overall but long waiting times.,,,,,,,,
553,Prime Care Hospital,Pediatrics,CarePlus Hospitals,Surat,Surat District,Gujarat,5,Good experience overall but long waiting times.,,,,,,,,
554,Sunrise Health Institute,Plastic Surgery,Swasthya Foundation,Gurugram,Gurugram District,Haryana,3.1,"Very skilled specialists, especially in their department.",,,,,,,,
555,Aster Medical Center,General Surgery,Manipal Hospitals,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.4,Excellent diagnostics and attentive staff.,,,,,,,,
556,Trinity Medical Center,Neurology,Aster DM Healthcare,Surat,Surat District,Gujarat,4.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
557,Sujatha Super Speciality Hospital,Plastic Surgery,Narayana Health,Gurugram,Gurugram District,Haryana,4.2,Good value for money and efficient treatment.,,,,,,,,
558,Fortis Health Centre,Orthopedics,Fortis Healthcare,Salem,Salem District,Tamil Nadu,4,Highly recommended for specialized surgery.,,,,,,,,
559,Aster Medical Center,Plastic Surgery,Global Health Group,Chandigarh,Chandigarh District,Chandigarh,3.5,Modern equipment but billing could be better.,,,,,,,,
560,Swasth Health Institute,ENT,CarePlus Hospitals,Chandigarh,Chandigarh District,Chandigarh,3.6,Excellent diagnostics and attentive staff.,,,,,,,,
561,Sanjeevani Medical Center,Psychiatry,Fortis Healthcare,Mysore,Mysore District,Karnataka,3.5,Exceptional care and professional staff.,,,,,,,,
562,Vijaya Care Hospital,Orthopedics,Swasthya Foundation,Bhavnagar,Bhavnagar District,Gujarat,3,Good experience overall but long waiting times.,,,,,,,,
563,Sanjeevani Hospital & Research,Nephrology,CarePlus Hospitals,Jamshedpur,Jamshedpur District,Jharkhand,4.7,Highly recommended for specialized surgery.,,,,,,,,
564,Vijaya Super Speciality Hospital,General Surgery,Manipal Hospitals,Erode,Erode District,Tamil Nadu,4.8,Excellent diagnostics and attentive staff.,,,,,,,,
565,LifeCare Super Speciality Hospital,Gastroenterology,City Health Org,Kanpur,Kanpur District,Uttar Pradesh,4.2,Exceptional care and professional staff.,,,,,,,,
566,Raj Medical Center,Psychiatry,Max Healthcare,Ranchi,Ranchi District,Jharkhand,3.4,Average service; room service needs improvement.,,,,,,,,
567,Swasth Health Centre,Ophthalmology,Prime Medical Group,Jamshedpur,Jamshedpur District,Jharkhand,3.4,Modern equipment but billing could be better.,,,,,,,,
568,Aster Care Hospital,Cardiology,Apollo Group,Surat,Surat District,Gujarat,3.9,Average service; room service needs improvement.,,,,,,,,
569,National Hospital,Neurology,Independent,Hyderabad,Hyderabad District,Telangana,4.9,Modern equipment but billing could be better.,,,,,,,,
570,Yashodha Hospital & Research,Radiology,Fortis Healthcare,Chandigarh,Chandigarh District,Chandigarh,4.1,Caring doctors and quick emergency response.,,,,,,,,
571,City Hospital & Research,Urology,Prime Medical Group,Jaipur,Jaipur District,Rajasthan,3.9,Excellent diagnostics and attentive staff.,,,,,,,,
572,Sanjeevani Health Centre,Dermatology,Narayana Health,Erode,Erode District,Tamil Nadu,4.7,Excellent diagnostics and attentive staff.,,,,,,,,
573,Sujatha Hospital,Orthopedics,Max Healthcare,Amritsar,Amritsar District,Punjab,3.1,Excellent diagnostics and attentive staff.,,,,,,,,
574,LifeCare Care Hospital,Psychiatry,Aster DM Healthcare,Dehradun,Dehradun District,Uttarakhand,4.1,Caring doctors and quick emergency response.,,,,,,,,
575,Vijaya Health Institute,Urology,Prime Medical Group,Noida,Noida District,Uttar Pradesh,4.6,Average service; room service needs improvement.,,,,,,,,
576,Raj Medical Center,Cardiology,Aster DM Healthcare,Surat,Surat District,Gujarat,3.6,Caring doctors and quick emergency response.,,,,,,,,
577,Sujatha Care Hospital,ENT,CarePlus Hospitals,Ahmedabad,Ahmedabad District,Gujarat,4.9,Caring doctors and quick emergency response.,,,,,,,,
578,LifeCare Health Centre,Emergency Medicine,Aster DM Healthcare,Bhopal,Bhopal District,Madhya Pradesh,3.1,Good experience overall but long waiting times.,,,,,,,,
579,Apollo Clinic,Oncology,Fortis Healthcare,Ahmedabad,Ahmedabad District,Gujarat,4.6,Average service; room service needs improvement.,,,,,,,,
580,Trinity Health Institute,Ophthalmology,Aster DM Healthcare,Salem,Salem District,Tamil Nadu,3.2,Excellent diagnostics and attentive staff.,,,,,,,,
581,Sanjeevani Hospital & Research,Nephrology,City Health Org,Ahmedabad,Ahmedabad District,Gujarat,3.9,Highly recommended for specialized surgery.,,,,,,,,
582,Crystal Medical Center,Pulmonology,Narayana Health,Dehradun,Dehradun District,Uttarakhand,3.9,Highly recommended for specialized surgery.,,,,,,,,
583,Harmony Hospital,Oncology,Global Health Group,Noida,Noida District,Uttar Pradesh,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
584,CarePlus Medical Center,Cardiology,Global Health Group,Vellore,Vellore District,Tamil Nadu,3.2,Exceptional care and professional staff.,,,,,,,,
585,Global Care Hospital,Pulmonology,Swasthya Foundation,Chandigarh,Chandigarh District,Chandigarh,4.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
586,National Super Speciality Hospital,Cardiology,Global Health Group,Salem,Salem District,Tamil Nadu,3,Average service; room service needs improvement.,,,,,,,,
587,Trinity Hospital & Research,Ophthalmology,Prime Medical Group,Chandigarh,Chandigarh District,Chandigarh,4.9,Good experience overall but long waiting times.,,,,,,,,
588,Apollo Clinic,Endocrinology,Independent,Pune,Pune District,Maharashtra,4,Modern equipment but billing could be better.,,,,,,,,
589,Raj Super Speciality Hospital,Gastroenterology,Independent,Lucknow,Lucknow District,Uttar Pradesh,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
590,Prime Super Speciality Hospital,Neurology,Independent,Indore,Indore District,Madhya Pradesh,3,Exceptional care and professional staff.,,,,,,,,
591,Crystal Care Hospital,Psychiatry,Max Healthcare,Dehradun,Dehradun District,Uttarakhand,3.1,Modern equipment but billing could be better.,,,,,,,,
592,National Care Hospital,ENT,City Health Org,Srinagar,Srinagar District,Jammu & Kashmir,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
593,Crystal Clinic,Ophthalmology,City Health Org,Vadodara,Vadodara District,Gujarat,3.7,Average service; room service needs improvement.,,,,,,,,
594,Vijaya Clinic,Psychiatry,Narayana Health,Srinagar,Srinagar District,Jammu & Kashmir,4.5,Good experience overall but long waiting times.,,,,,,,,
595,Sanjeevani Care Hospital,General,Narayana Health,Kolkata,Kolkata District,West Bengal,3.4,Good experience overall but long waiting times.,,,,,,,,
596,Global Super Speciality Hospital,Dermatology,Apollo Group,Hyderabad,Hyderabad District,Telangana,3.5,Caring doctors and quick emergency response.,,,,,,,,
597,CarePlus Health Institute,Plastic Surgery,Prime Medical Group,Amritsar,Amritsar District,Punjab,4,Excellent diagnostics and attentive staff.,,,,,,,,
598,Trinity Medical Center,Neurology,Global Health Group,Kolkata,Kolkata District,West Bengal,4,Modern equipment but billing could be better.,,,,,,,,
599,Raj Medical Center,ENT,Fortis Healthcare,Varanasi,Varanasi District,Uttar Pradesh,3.7,Exceptional care and professional staff.,,,,,,,,
600,Prime Health Institute,Pediatrics,Apollo Group,Mysore,Mysore District,Karnataka,3.7,Good value for money and efficient treatment.,,,,,,,,
601,Sanjeevani Super Speciality Hospital,Radiology,Manipal Hospitals,Jaipur,Jaipur District,Rajasthan,3.9,Exceptional care and professional staff.,,,,,,,,
602,Global Hospital & Research,Rheumatology,Manipal Hospitals,Ahmedabad,Ahmedabad District,Gujarat,3.3,Good value for money and efficient treatment.,,,,,,,,
603,Yashodha Health Centre,Endocrinology,Prime Medical Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.6,Excellent diagnostics and attentive staff.,,,,,,,,
604,Trinity Care Hospital,Orthopedics,Prime Medical Group,Jodhpur,Jodhpur District,Rajasthan,4.8,Exceptional care and professional staff.,,,,,,,,
605,Metro Health Centre,Oncology,Max Healthcare,Trivandrum,Trivandrum District,Kerala,4,Exceptional care and professional staff.,,,,,,,,
606,Prime Super Speciality Hospital,Gastroenterology,Global Health Group,Surat,Surat District,Gujarat,4.5,Exceptional care and professional staff.,,,,,,,,
607,Prime Hospital,Neurology,CarePlus Hospitals,Patna,Patna District,Bihar,5,"Very skilled specialists, especially in their department.",,,,,,,,
608,Crystal Clinic,Neurology,Apollo Group,Trivandrum,Trivandrum District,Kerala,4,Average service; room service needs improvement.,,,,,,,,
609,City Hospital,Radiology,Manipal Hospitals,Ahmedabad,Ahmedabad District,Gujarat,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
610,Harmony Care Hospital,Gastroenterology,Swasthya Foundation,Thane,Thane District,Maharashtra,5,Excellent diagnostics and attentive staff.,,,,,,,,
611,Crystal Medical Center,Endocrinology,Prime Medical Group,Jaipur,Jaipur District,Rajasthan,3.9,"Very skilled specialists, especially in their department.",,,,,,,,
612,National Hospital & Research,Cardiology,City Health Org,Pune,Pune District,Maharashtra,3.1,Modern equipment but billing could be better.,,,,,,,,
613,Metro Health Institute,Gastroenterology,City Health Org,Delhi,Delhi District,Delhi,3.1,Exceptional care and professional staff.,,,,,,,,
614,LifeCare Super Speciality Hospital,Obstetrics & Gynecology,CarePlus Hospitals,Hyderabad,Hyderabad District,Telangana,3.6,Good experience overall but long waiting times.,,,,,,,,
615,Sujatha Health Institute,Neurology,Prime Medical Group,Patna,Patna District,Bihar,3.2,Caring doctors and quick emergency response.,,,,,,,,
616,Sujatha Health Centre,Oncology,Swasthya Foundation,Thoothukudi,Thoothukudi District,Tamil Nadu,4.7,Highly recommended for specialized surgery.,,,,,,,,
617,Crystal Clinic,Urology,CarePlus Hospitals,Agra,Agra District,Uttar Pradesh,4.8,Highly recommended for specialized surgery.,,,,,,,,
618,Sunrise Hospital & Research,Obstetrics & Gynecology,Manipal Hospitals,Ahmedabad,Ahmedabad District,Gujarat,3.1,Exceptional care and professional staff.,,,,,,,,
619,CarePlus Medical Center,Gastroenterology,Apollo Group,Trivandrum,Trivandrum District,Kerala,4.1,Good experience overall but long waiting times.,,,,,,,,
620,Vijaya Hospital,Neurology,City Health Org,Salem,Salem District,Tamil Nadu,3.4,Good experience overall but long waiting times.,,,,,,,,
621,Yashodha Medical Center,Endocrinology,Independent,Thane,Thane District,Maharashtra,3.5,Modern equipment but billing could be better.,,,,,,,,
622,Sunrise Super Speciality Hospital,Nephrology,Apollo Group,Ranchi,Ranchi District,Jharkhand,3.1,Highly recommended for specialized surgery.,,,,,,,,
623,Harmony Super Speciality Hospital,Oncology,CarePlus Hospitals,Chandigarh,Chandigarh District,Chandigarh,4.7,Highly recommended for specialized surgery.,,,,,,,,
624,Sujatha Hospital,General Surgery,Independent,Amritsar,Amritsar District,Punjab,3.9,Exceptional care and professional staff.,,,,,,,,
625,Trinity Health Centre,Oncology,Swasthya Foundation,Gurugram,Gurugram District,Haryana,5,Good experience overall but long waiting times.,,,,,,,,
626,City Super Speciality Hospital,Gastroenterology,Prime Medical Group,Chandigarh,Chandigarh District,Chandigarh,4.7,Caring doctors and quick emergency response.,,,,,,,,
627,CarePlus Clinic,Neurology,Swasthya Foundation,Patna,Patna District,Bihar,3.7,"Very skilled specialists, especially in their department.",,,,,,,,
628,Vijaya Super Speciality Hospital,Radiology,Global Health Group,Mumbai,Mumbai District,Maharashtra,4.4,Good value for money and efficient treatment.,,,,,,,,
629,National Hospital & Research,General Surgery,Manipal Hospitals,Salem,Salem District,Tamil Nadu,4.2,Excellent diagnostics and attentive staff.,,,,,,,,
630,Apollo Clinic,Cardiology,Prime Medical Group,Patna,Patna District,Bihar,4.5,Highly recommended for specialized surgery.,,,,,,,,
631,LifeCare Health Centre,Radiology,CarePlus Hospitals,Erode,Erode District,Tamil Nadu,4.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
632,Crystal Care Hospital,Pediatrics,Fortis Healthcare,Agra,Agra District,Uttar Pradesh,3.4,Good experience overall but long waiting times.,,,,,,,,
633,CarePlus Clinic,Cardiology,Swasthya Foundation,Raipur,Raipur District,Chhattisgarh,5,Average service; room service needs improvement.,,,,,,,,
634,Sanjeevani Super Speciality Hospital,Gastroenterology,Narayana Health,Coimbatore,Coimbatore District,Tamil Nadu,4.4,Exceptional care and professional staff.,,,,,,,,
635,Sujatha Hospital & Research,Oncology,Independent,Jodhpur,Jodhpur District,Rajasthan,3.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
636,Vijaya Hospital & Research,Oncology,Narayana Health,Indore,Indore District,Madhya Pradesh,4.3,"Very skilled specialists, especially in their department.",,,,,,,,
637,Fortis Medical Center,General,CarePlus Hospitals,Thane,Thane District,Maharashtra,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
638,Sujatha Medical Center,Neurology,Apollo Group,Kolkata,Kolkata District,West Bengal,4.8,Exceptional care and professional staff.,,,,,,,,
639,Prime Super Speciality Hospital,Gastroenterology,Apollo Group,Chennai,Chennai District,Tamil Nadu,4.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
640,Trinity Hospital,Oncology,CarePlus Hospitals,Vadodara,Vadodara District,Gujarat,3.9,Good value for money and efficient treatment.,,,,,,,,
641,National Hospital,Psychiatry,City Health Org,Kolkata,Kolkata District,West Bengal,3.1,Average service; room service needs improvement.,,,,,,,,
642,Fortis Health Institute,Neurology,Independent,Nagpur,Nagpur District,Maharashtra,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
643,Raj Health Centre,Neurology,City Health Org,Lucknow,Lucknow District,Uttar Pradesh,3.6,Average service; room service needs improvement.,,,,,,,,
644,Swasth Medical Center,Endocrinology,Aster DM Healthcare,Indore,Indore District,Madhya Pradesh,4.3,Average service; room service needs improvement.,,,,,,,,
645,Sujatha Hospital,General,CarePlus Hospitals,Kolkata,Kolkata District,West Bengal,4.8,"Very skilled specialists, especially in their department.",,,,,,,,
646,Global Super Speciality Hospital,Oncology,Max Healthcare,Srinagar,Srinagar District,Jammu & Kashmir,3.4,Exceptional care and professional staff.,,,,,,,,
647,Prime Care Hospital,ENT,Max Healthcare,Lucknow,Lucknow District,Uttar Pradesh,4.2,Modern equipment but billing could be better.,,,,,,,,
648,Vijaya Hospital & Research,General,Global Health Group,Thane,Thane District,Maharashtra,3.4,Good experience overall but long waiting times.,,,,,,,,
649,Swasth Health Centre,General,CarePlus Hospitals,Mysore,Mysore District,Karnataka,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
650,Swasth Super Speciality Hospital,Orthopedics,Prime Medical Group,Indore,Indore District,Madhya Pradesh,3.6,Good experience overall but long waiting times.,,,,,,,,
651,CarePlus Health Institute,Obstetrics & Gynecology,Global Health Group,Chennai,Chennai District,Tamil Nadu,4.8,Good value for money and efficient treatment.,,,,,,,,
652,Crystal Care Hospital,Neurology,Fortis Healthcare,Dehradun,Dehradun District,Uttarakhand,4.4,Modern equipment but billing could be better.,,,,,,,,
653,Harmony Hospital,General,Max Healthcare,Kolhapur,Kolhapur District,Maharashtra,4.8,Average service; room service needs improvement.,,,,,,,,
654,Vijaya Hospital & Research,Pediatrics,Narayana Health,Agra,Agra District,Uttar Pradesh,3.2,"Very skilled specialists, especially in their department.",,,,,,,,
655,Trinity Hospital & Research,Pulmonology,Manipal Hospitals,Varanasi,Varanasi District,Uttar Pradesh,3.9,Average service; room service needs improvement.,,,,,,,,
656,Fortis Health Centre,Oncology,Swasthya Foundation,Patna,Patna District,Bihar,3.7,Highly recommended for specialized surgery.,,,,,,,,
657,Aster Hospital,Endocrinology,Global Health Group,Hyderabad,Hyderabad District,Telangana,3.7,Highly recommended for specialized surgery.,,,,,,,,
658,CarePlus Hospital,Cardiology,Narayana Health,Jodhpur,Jodhpur District,Rajasthan,4.6,Good value for money and efficient treatment.,,,,,,,,
659,Fortis Clinic,Endocrinology,Prime Medical Group,Kochi,Kochi District,Kerala,3.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
660,Sanjeevani Clinic,Pulmonology,CarePlus Hospitals,Vijayawada,Vijayawada District,Andhra Pradesh,4.7,Exceptional care and professional staff.,,,,,,,,
661,Fortis Super Speciality Hospital,Ophthalmology,Manipal Hospitals,Mysore,Mysore District,Karnataka,4.5,Good experience overall but long waiting times.,,,,,,,,
662,Trinity Super Speciality Hospital,Endocrinology,Manipal Hospitals,Agra,Agra District,Uttar Pradesh,4.9,Caring doctors and quick emergency response.,,,,,,,,
663,Prime Medical Center,Gastroenterology,Fortis Healthcare,Kolhapur,Kolhapur District,Maharashtra,4.3,Good experience overall but long waiting times.,,,,,,,,
664,Prime Clinic,Cardiology,Max Healthcare,Trivandrum,Trivandrum District,Kerala,4.3,Good experience overall but long waiting times.,,,,,,,,
665,Vijaya Medical Center,Pediatrics,Fortis Healthcare,Kochi,Kochi District,Kerala,3.8,Modern equipment but billing could be better.,,,,,,,,
666,Trinity Health Centre,Endocrinology,City Health Org,Kanpur,Kanpur District,Uttar Pradesh,4,Good experience overall but long waiting times.,,,,,,,,
667,Trinity Clinic,Neurology,Global Health Group,Kochi,Kochi District,Kerala,4.8,Modern equipment but billing could be better.,,,,,,,,
668,Prime Super Speciality Hospital,General Surgery,City Health Org,Vellore,Vellore District,Tamil Nadu,4.6,Excellent diagnostics and attentive staff.,,,,,,,,
669,National Super Speciality Hospital,Neurology,Prime Medical Group,Agra,Agra District,Uttar Pradesh,3.5,Highly recommended for specialized surgery.,,,,,,,,
670,Sunrise Medical Center,Oncology,Aster DM Healthcare,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.5,Modern equipment but billing could be better.,,,,,,,,
671,Apollo Medical Center,Psychiatry,Swasthya Foundation,Ranchi,Ranchi District,Jharkhand,4.4,Average service; room service needs improvement.,,,,,,,,
672,National Health Institute,Ophthalmology,Aster DM Healthcare,Thane,Thane District,Maharashtra,4.5,Excellent diagnostics and attentive staff.,,,,,,,,
673,Vijaya Health Institute,Dermatology,Independent,Gurugram,Gurugram District,Haryana,3.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
674,CarePlus Health Institute,Orthopedics,CarePlus Hospitals,Salem,Salem District,Tamil Nadu,3.4,Average service; room service needs improvement.,,,,,,,,
675,LifeCare Hospital,Rheumatology,Independent,Patna,Patna District,Bihar,3.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
676,Apollo Hospital & Research,Ophthalmology,Max Healthcare,Delhi,Delhi District,Delhi,4.3,Exceptional care and professional staff.,,,,,,,,
677,Global Clinic,Endocrinology,City Health Org,Coimbatore,Coimbatore District,Tamil Nadu,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
678,Apollo Super Speciality Hospital,Neurology,Swasthya Foundation,Nagpur,Nagpur District,Maharashtra,3,"Very skilled specialists, especially in their department.",,,,,,,,
679,Swasth Super Speciality Hospital,Rheumatology,Narayana Health,Hyderabad,Hyderabad District,Telangana,4.2,Average service; room service needs improvement.,,,,,,,,
680,Vijaya Hospital & Research,Nephrology,Swasthya Foundation,Mysore,Mysore District,Karnataka,3.1,Highly recommended for specialized surgery.,,,,,,,,
681,Fortis Super Speciality Hospital,Dermatology,Max Healthcare,Chandigarh,Chandigarh District,Chandigarh,3.2,Good experience overall but long waiting times.,,,,,,,,
682,LifeCare Clinic,Dermatology,Prime Medical Group,Bhavnagar,Bhavnagar District,Gujarat,5,Exceptional care and professional staff.,,,,,,,,
683,Prime Hospital,Plastic Surgery,Max Healthcare,Bhavnagar,Bhavnagar District,Gujarat,4.5,Highly recommended for specialized surgery.,,,,,,,,
684,Global Health Institute,ENT,CarePlus Hospitals,Raipur,Raipur District,Chhattisgarh,3,Highly recommended for specialized surgery.,,,,,,,,
685,Harmony Clinic,Urology,Max Healthcare,Nagpur,Nagpur District,Maharashtra,3.2,Average service; room service needs improvement.,,,,,,,,
686,Prime Care Hospital,Endocrinology,Swasthya Foundation,Chandigarh,Chandigarh District,Chandigarh,3.5,Good experience overall but long waiting times.,,,,,,,,
687,Crystal Super Speciality Hospital,General Surgery,Fortis Healthcare,Vijayawada,Vijayawada District,Andhra Pradesh,4.9,Modern equipment but billing could be better.,,,,,,,,
688,Vijaya Health Centre,Pulmonology,Manipal Hospitals,Amritsar,Amritsar District,Punjab,3.6,Caring doctors and quick emergency response.,,,,,,,,
689,Metro Clinic,Cardiology,Independent,Indore,Indore District,Madhya Pradesh,4.7,Caring doctors and quick emergency response.,,,,,,,,
690,Harmony Medical Center,Radiology,Manipal Hospitals,Chandigarh,Chandigarh District,Chandigarh,3.1,Average service; room service needs improvement.,,,,,,,,
691,Crystal Care Hospital,Psychiatry,Swasthya Foundation,Vellore,Vellore District,Tamil Nadu,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
692,Apollo Health Institute,Dermatology,Narayana Health,Kolhapur,Kolhapur District,Maharashtra,3.9,Exceptional care and professional staff.,,,,,,,,
693,Yashodha Super Speciality Hospital,Obstetrics & Gynecology,Prime Medical Group,Bhavnagar,Bhavnagar District,Gujarat,4.9,Modern equipment but billing could be better.,,,,,,,,
694,Sunrise Super Speciality Hospital,Cardiology,City Health Org,Varanasi,Varanasi District,Uttar Pradesh,4.5,Modern equipment but billing could be better.,,,,,,,,
695,Prime Hospital,General Surgery,Fortis Healthcare,Kochi,Kochi District,Kerala,4,Modern equipment but billing could be better.,,,,,,,,
696,Vijaya Hospital & Research,Psychiatry,Fortis Healthcare,Kanpur,Kanpur District,Uttar Pradesh,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
697,Swasth Hospital,Nephrology,Prime Medical Group,Nagpur,Nagpur District,Maharashtra,4.6,Good experience overall but long waiting times.,,,,,,,,
698,Yashodha Medical Center,Oncology,Narayana Health,Ahmedabad,Ahmedabad District,Gujarat,3.7,Exceptional care and professional staff.,,,,,,,,
699,Harmony Hospital,Endocrinology,Apollo Group,Mumbai,Mumbai District,Maharashtra,4,Excellent diagnostics and attentive staff.,,,,,,,,
700,Sanjeevani Hospital & Research,Ophthalmology,Aster DM Healthcare,Jamshedpur,Jamshedpur District,Jharkhand,4.8,"Very skilled specialists, especially in their department.",,,,,,,,
701,National Hospital,Plastic Surgery,CarePlus Hospitals,Mysore,Mysore District,Karnataka,4.4,Highly recommended for specialized surgery.,,,,,,,,
702,Raj Super Speciality Hospital,Endocrinology,Swasthya Foundation,Nashik,Nashik District,Maharashtra,3,Caring doctors and quick emergency response.,,,,,,,,
703,Trinity Care Hospital,Endocrinology,Manipal Hospitals,Vadodara,Vadodara District,Gujarat,4.2,Average service; room service needs improvement.,,,,,,,,
704,Crystal Hospital,Nephrology,Fortis Healthcare,Lucknow,Lucknow District,Uttar Pradesh,4.6,Excellent diagnostics and attentive staff.,,,,,,,,
705,Swasth Health Institute,Psychiatry,Swasthya Foundation,Surat,Surat District,Gujarat,3.2,Modern equipment but billing could be better.,,,,,,,,
706,Raj Medical Center,Orthopedics,Swasthya Foundation,Thoothukudi,Thoothukudi District,Tamil Nadu,4.8,"Very skilled specialists, especially in their department.",,,,,,,,
707,Global Super Speciality Hospital,Endocrinology,Prime Medical Group,Bhavnagar,Bhavnagar District,Gujarat,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
708,City Hospital & Research,Obstetrics & Gynecology,Prime Medical Group,Pune,Pune District,Maharashtra,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
709,LifeCare Clinic,Gastroenterology,Manipal Hospitals,Chandigarh,Chandigarh District,Chandigarh,3.6,Average service; room service needs improvement.,,,,,,,,
710,Metro Health Centre,Nephrology,Max Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,4.4,Modern equipment but billing could be better.,,,,,,,,
711,Harmony Care Hospital,General Surgery,Swasthya Foundation,Gurugram,Gurugram District,Haryana,3.4,Highly recommended for specialized surgery.,,,,,,,,
712,Vijaya Care Hospital,Oncology,Prime Medical Group,Chennai,Chennai District,Tamil Nadu,3.6,Average service; room service needs improvement.,,,,,,,,
713,Yashodha Super Speciality Hospital,Urology,Apollo Group,Vellore,Vellore District,Tamil Nadu,4.5,Good experience overall but long waiting times.,,,,,,,,
714,Sujatha Health Institute,Orthopedics,City Health Org,Chandigarh,Chandigarh District,Chandigarh,3.9,Highly recommended for specialized surgery.,,,,,,,,
715,Harmony Medical Center,Emergency Medicine,Swasthya Foundation,Erode,Erode District,Tamil Nadu,5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
716,LifeCare Medical Center,ENT,Global Health Group,Nagpur,Nagpur District,Maharashtra,3.7,Exceptional care and professional staff.,,,,,,,,
717,Raj Health Centre,Dermatology,Prime Medical Group,Kochi,Kochi District,Kerala,4.9,Average service; room service needs improvement.,,,,,,,,
718,Apollo Medical Center,Oncology,Apollo Group,Erode,Erode District,Tamil Nadu,3.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
719,Raj Super Speciality Hospital,Obstetrics & Gynecology,Narayana Health,Trivandrum,Trivandrum District,Kerala,3.3,Exceptional care and professional staff.,,,,,,,,
720,Crystal Medical Center,Ophthalmology,Max Healthcare,Hyderabad,Hyderabad District,Telangana,4.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
721,Swasth Health Institute,Pediatrics,Apollo Group,Agra,Agra District,Uttar Pradesh,3.5,Good value for money and efficient treatment.,,,,,,,,
722,Apollo Clinic,Neurology,Narayana Health,Thoothukudi,Thoothukudi District,Tamil Nadu,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
723,Aster Clinic,Gastroenterology,Prime Medical Group,Raipur,Raipur District,Chhattisgarh,4.3,Modern equipment but billing could be better.,,,,,,,,
724,Trinity Clinic,Orthopedics,City Health Org,Jaipur,Jaipur District,Rajasthan,3.6,Average service; room service needs improvement.,,,,,,,,
725,Sujatha Medical Center,Ophthalmology,Narayana Health,Kochi,Kochi District,Kerala,3.9,Caring doctors and quick emergency response.,,,,,,,,
726,Metro Hospital & Research,Oncology,Manipal Hospitals,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.1,Good value for money and efficient treatment.,,,,,,,,
727,Global Medical Center,Neurology,Aster DM Healthcare,Hyderabad,Hyderabad District,Telangana,4.6,Average service; room service needs improvement.,,,,,,,,
728,National Medical Center,Urology,Fortis Healthcare,Trivandrum,Trivandrum District,Kerala,4.5,Good value for money and efficient treatment.,,,,,,,,
729,Vijaya Hospital & Research,Nephrology,Manipal Hospitals,Chennai,Chennai District,Tamil Nadu,3.7,Exceptional care and professional staff.,,,,,,,,
730,Metro Health Institute,Obstetrics & Gynecology,Manipal Hospitals,Thoothukudi,Thoothukudi District,Tamil Nadu,4.5,Excellent diagnostics and attentive staff.,,,,,,,,
731,Sujatha Health Centre,Gastroenterology,Narayana Health,Vellore,Vellore District,Tamil Nadu,4,Average service; room service needs improvement.,,,,,,,,
732,City Medical Center,General,Prime Medical Group,Ahmedabad,Ahmedabad District,Gujarat,4.9,Exceptional care and professional staff.,,,,,,,,
733,Crystal Health Institute,Nephrology,CarePlus Hospitals,Salem,Salem District,Tamil Nadu,4,Exceptional care and professional staff.,,,,,,,,
734,Aster Clinic,Ophthalmology,Prime Medical Group,Jodhpur,Jodhpur District,Rajasthan,4.9,Good value for money and efficient treatment.,,,,,,,,
735,City Hospital & Research,Urology,Fortis Healthcare,Nagpur,Nagpur District,Maharashtra,3.7,Caring doctors and quick emergency response.,,,,,,,,
736,Fortis Medical Center,Cardiology,Narayana Health,Mysore,Mysore District,Karnataka,4,Modern equipment but billing could be better.,,,,,,,,
737,Trinity Care Hospital,Orthopedics,Independent,Ranchi,Ranchi District,Jharkhand,3,Exceptional care and professional staff.,,,,,,,,
